ion,airwave,ritzwave,relint
Hg II,7346.508,7346.502,600000
Hg I,7348.1,7347.9,8
Hg I,7348.6,7348.3,0
Hg I,7367.3,7367.0,1
Hg I,7367.3,7367.4,1
Hg I,7367.3,7367.84,1
Hg I,7371.5,7371.37,10
Hg I,7374.5,7374.33,4
Hg I,7387.5,,1
Hg I,7393.8,,1
Hg II,7395.622,,1200
Hg I,7403.3,,1
Hg II,7411.852,7411.852,600
Hg I,7412.2,7412.01,4
Hg II,7417.864,7417.873,18000
Hg I,7453.9,7453.85,8
Hg I,7453.9,7454.18,8
Hg I,7456.7,7456.68,3
Hg I,7461.3,7461.29,2
Hg I,7472.9,,1
Hg II,7486.298,7486.294,6500
Hg I,7494.5,,1
Hg I,7500.4,,1
Hg III,7517.46,,12
Hg I,7520.1,7519.88,9
Hg I,7531.6,,1
Hg I,7533.9,,0
Hg I,7542.9,7543.04,4
Hg I,7552.1,7552.19,7
Hg I,7560.8,,1
Hg II,7564.534,7564.535,12000
Hg I,7571.2,,1
Hg I,7580.9,,1
Hg I,7602.1,7602.17,7
Hg I,7602.1,7602.93,7
Hg I,7605.9,7606.30,4
Hg I,7612.7,,1
Hg I,7615.5,,0
Hg I,7618.8,,1
Hg II,7620.763,7620.758,60000
Hg I,7620.8,,0
Hg I,7631.7,,1
Hg I,7635.2,,0
Hg I,7646.4,7646.50,3
Hg I,7653.7,,1
Hg I,7666.9,7667.03,4
Hg I,7674.0,7674.18,5
Hg I,7677.3,7677.33,3
Hg I,7685.2,7685.37,1
Hg I,7693.0,,1
Hg I,7704.1,,1
Hg I,7706.6,,1
Hg I,7718.7,,2
Hg I,7720.2,,1
Hg I,7728.825,7728.825,30
Hg I,7732.6,7732.39,5
Hg I,7734.7,7733.90,0
Hg II,7771.951,,2000
Hg I,7795.2,,1
Hg III,7808.10,,7
Hg I,7813.9,7813.9,1
Hg I,7820.7,7820.37,8
Hg I,7822.2,7821.78,1
Hg I,7826.0,7826.31,4
Hg II,7881.034,7881.035,110
Hg I,7899.1,7897.4,0
Hg I,7929.8,7929.67,3
Hg I,7936.9,7937.03,1
Hg II,7944.555,7944.555,25000000
Hg III,7946.75,,25
Hg I,7951.2,7951.2,0
Hg I,7968.6,7968.6,0
Hg I,7968.6,7968.9,0
Hg I,7973.3,7973.042,1
Hg I,7979.1,7978.82,7
Hg III,7984.51,,50
Hg I,7991.0,7991.0,0
Hg I,7998.6,7998.59,0
Hg I,8007.1,,1
Hg I,8013.3,8013.3,0
Hg I,8017.9,8017.9,1
Hg I,8022.3,8022.07,6
Hg I,8031.9,8031.9,0
Hg I,8031.9,8031.9,0
Hg I,8050.0,8050.0,1
Hg I,8054.1,8053.79,2
Hg I,8058.2,8058.06,1
Hg I,8058.4,8058.4,1
Hg I,8070.7,8070.48,5
Hg I,8078.1,,0
Hg I,8080.4,8080.4,0
Hg I,8090.4,8090.4,1
Hg I,8090.4,8090.92,1
Hg I,8113.1,8113.0,4
Hg I,8113.1,8113.11,4
Hg I,8129.2,8129.2,1
Hg I,8136.3,8136.3,2
Hg I,8145.4,8144.97,2
Hg III,8151.64,,5
Hg I,8153.1,8153.0,3
Hg I,8153.6,8153.5,4
Hg I,8163.4,8163.42,10
Hg I,8166.4,8166.22,8
Hg I,8172.8,8172.51,9
Hg I,8172.8,8173.14,9
Hg I,8177.2,8177.2,0
Hg I,8181.4,8180.9,0
Hg I,8181.4,8181.75,0
Hg I,8189.2,8188.89,3
Hg I,8195.60,8195.46,10
Hg I,8195.60,8195.6,10
Hg I,8197.4,8197.4,2
Hg I,8200.6,8200.50,8
Hg I,8205.3,8204.87,2
Hg I,8214.2,,3
Hg I,8227.0,,0
Hg I,8231.8,8232.5,0
Hg I,8238.4,8238.3,4
Hg I,8250.7,8250.71,4
Hg I,8262.2,8262.2,4
Hg I,8272.5,8272.5,5
Hg I,8275.0,8275.1,4
Hg I,8288.6,8288.29,5
Hg I,8303.7,8303.61,1
Hg I,8316.4,8316.4,5
Hg I,8340.5,8340.5,5
Hg I,8353.7,8353.01,4
Hg I,8374.0,8374.0,5
Hg I,8376.4,8376.4,4
Hg I,8401.6,8401.34,5
Hg II,8406.119,8406.119,100
Hg I,8418.6,8418.6,4
Hg I,8423.4,8423.28,5
Hg I,8443.3,8443.3,5
Hg I,8452.0,8452.0,0
Hg I,8452.0,8452.03,0
Hg I,8464.1,8463.93,0
Hg I,8491.0,8490.93,4
Hg I,8505.6,8505.14,6
Hg I,8511.0,8511.0,5
Hg I,8513.5,8513.5,4
Hg I,8538.9,8538.75,3
Hg II,8548.664,8548.669,1000
Hg I,8557.3,8557.3,5
Hg I,8582.5,8582.5,6
Hg I,8613.6,8613.0,6
Hg I,8618.7,8619.89,0
Hg I,8652.7,8652.35,10
Hg I,8679.6,8680.09,0
Hg I,8686.7,8685.47,6
Hg I,8704.5,8704.3,7
Hg I,8706.4,8706.4,5
Hg I,8737.6,8737.5,0
Hg I,8746.1,8746.76,3
Hg I,8751.9,8752.0,7
Hg I,8758.1,8757.50,10
Hg I,8763.0,8762.48,10
Hg I,8773.1,8772.727,10
Hg I,8778.4,8778.6,7
Hg I,8783.7,8783.75,10
Hg I,8796.3,8796.16,0
Hg I,8830.9,8830.84,1
Hg I,8887.5,8886.9,4
Hg I,8887.5,8887.5,4
Hg I,8887.5,8888.1,4
Hg I,8893.7,8893.2,7
Hg I,8965.8,8965.71,0
Hg I,8973.6,8973.52,8
Hg I,8988.9,8988.7,8
Hg I,8991.4,8991.0,7
Hg I,9039.2,9039.2,4
Hg I,9051.2,9051.12,1
Hg I,9057.6,9056.80,1
Hg I,9067.2,9067.4,1
Hg I,9095.0,9095.617,0
Hg I,9157.8,9157.78,2
Hg I,9200.7,9200.74,3
Hg I,9243.1,9242.94,10
Hg I,9253.9,9253.52,8
Hg I,9263.7,9263.46,2
Hg I,9279.1,9278.95,2
Hg I,9298.6,9298.57,2
Hg I,9327.2,9327.2,2
Hg I,9338.4,9337.77,8
Hg I,9342.5,9342.44,1
Hg I,9346.2,9346.1,0
Hg I,9354.7,9354.34,0
Hg I,9419.4,9419.52,3
Hg I,9425.6,9425.89,2
Hg I,9432.1,9431.62,9
Hg I,9438.5,9438.5,7
Hg I,9442.7,9442.9,5
Hg I,9487.2,9487.135,0
Hg I,9495.9,9496.0,6
Hg II,9520.198,9520.197,600000
Hg I,9526.3,9526.2,7
Hg I,9544.7,9544.015,0
Hg I,9547.3,9546.706,1
Hg I,9554.1,9553.57,1.5
Hg I,9574.3,9573.603,3
Hg I,9602.0,9601.783,1
Hg I,9602.0,9601.9,1
Hg II,9639.060,9639.064,180000
Hg II,9759.557,9759.553,20000
Hg I,9775.3,9775.2,3
Hg I,9792.9,9792.71,2
Hg I,9808,9808,1
Hg I,9821.8,9821.9,3
Hg I,9832.3,9832.7,1
Hg I,9838.1,9837.89,10
Hg I,9969.3,9968.99,10
Hg I,9980.9,9980.52,10
Hg I,9999.0,9998.50,9
