ion,airwave,ritzwave,relint
Cu II,3686.555,,1000
Cu I,3687.438,3687.4455,400
Cu I,3687.708,3687.7215,40
Cu I,3695.358,3695.319,8
Cu I,3699.097,3699.104,10
Cu I,3700.536,3700.535,250
Cu I,3701.070,3701.060,5
Cu III,3702.92,,500
Cu I,3707.12,3707.148,4
Cu I,3712.009,3711.998,30
Cu I,3720.771,3720.763,150
Cu I,3721.666,3721.685,8
Cu I,3734.180,3734.204,200
Cu I,3741.242,3741.241,450
Cu I,3743.363,3743.369,3
Cu III,3744.70,,800
Cu I,3745.356,3745.393,20
Cu III,3748.27,,400
Cu III,3752.06,,600
Cu I,3753.519,3753.530,8
Cu I,3758.296,3758.271,5
Cu I,3759.492,3759.489,60
Cu I,3764.837,3764.836,5
Cu I,3771.904,3771.888,100
Cu III,3776.97,,1000
Cu I,3779.067,3779.079,2
Cu I,3780.045,3780.066,5
Cu I,3785.49,3785.500,5
Cu II,3786.270,,150
Cu III,3790.80,,800
Cu I,3797.245,3797.259,8
Cu II,3797.849,,170
Cu I,3799.88,3799.871,10
Cu I,3800.502,3800.484,30
Cu I,3803.07,3803.218,0
Cu I,3803.49,3803.509,5
Cu III,3804.13,,600
Cu I,3805.232,3805.229,100
Cu III,3809.18,,600
Cu I,3811.95,3811.976,8
Cu I,3813.542,3813.539,10
Cu I,3817.490,3817.509,5
Cu II,3818.879,,100
Cu I,3820.884,3820.879,60
Cu I,3822.48,3822.533,0
Cu I,3825.047,3825.047,100
Cu II,3826.921,,140
Cu I,3835.74,3835.662,0
Cu I,3836.70,3836.617,0
Cu I,3836.70,3836.664,0
Cu I,3837.976,3837.983,5
Cu I,3844.51,3844.531,4
Cu I,3848.256,3848.275,0
Cu I,3860.472,3860.470,600
Cu I,3860.808,3860.790,5
Cu I,3861.747,3861.7464,250
Cu I,3862.781,3862.810,5
Cu II,3864.137,,160
Cu III,3881.68,,300
Cu I,3881.714,3881.733,5
Cu II,3884.131,,280
Cu I,3885.92,3885.938,3
Cu I,3885.92,3885.986,3
Cu I,3888.40,3888.431,4
Cu II,3892.924,,150
Cu I,3899.22,3899.214,8
Cu II,3903.177,,170
Cu I,3912.335,3912.351,1
Cu II,3920.654,,140
Cu I,3921.267,3921.267,5
Cu I,3925.274,3925.287,8
Cu I,3933.027,3933.034,5
Cu II,3933.268,,120
Cu XXVIII,,3936,
Cu XVIII,3941.6,3943,
Cu I,3946.938,3946.938,3
Cu I,3951.616,3951.629,2
Cu III,3953.81,,150
Cu I,3964.16,3964.162,5
Cu I,3975.7,3975.664,5
Cu I,3979.954,3979.956,5
Cu II,3987.024,,120
Cu II,3993.302,,150
Cu I,3993.692,3993.689,0
Cu I,3998.018,3998.023,3
Cu I,4003.028,4003.025,15
Cu II,4003.476,,140
