ion,airwave,ritzwave,relint
Ar II,4047.4803,4047.48081,10
Ar II,4051.122,4051.12055,5
Ar II,4052.9206,4052.92057,178
Ar II,4053.540,4053.54732,1
Ar I,,4054.526,
Ar II,4057.672,4057.67530,1
Ar III,4059.89,4059.84,3
Ar II,,4060.50290,
Ar II,4065.1114,4065.11110,3
Ar II,4070.7837,4070.7839,10
Ar II,4072.0043,4072.00431,708
Ar II,4072.3843,4072.38432,178
Ar II,4076.6282,4076.62819,85
Ar II,4076.9432,4076.94294,47
Ar II,4079.5734,4079.57339,100
Ar II,4080.6359,4080.63589,85
Ar II,4080.7022,4080.70213,40
Ar II,4082.3868,4082.38680,76
Ar II,4083.466,4083.47624,1
Ar III,4088.8914,4088.8911,7
Ar II,4097.1351,4097.13543,28
Ar II,4097.2033,4097.20221,12
Ar III,4098.19,4098.1514,4
Ar II,4099.4554,4099.45565,11
Ar II,4103.8323,4103.83222,158
Ar II,4103.9118,4103.91181,447
Ar II,4112.8151,4112.81487,513
Ar II,4114.487,4114.48850,2
Ar II,4116.3756,4116.37493,8
Ar II,4124.058,4124.06120,1
Ar III,4127.19,4127.228,4
Ar II,4128.6399,4128.63985,18
Ar II,4129.6820,4129.68211,12
Ar II,4131.7232,4131.72327,891
Ar II,4144.245,4144.2441,5
Ar III,4146.60,4146.6313,
Ar II,4147.377,4147.38177,2
Ar III,4149.03,4149.063,3
Ar II,4152.909,4152.909,0.5
Ar II,4156.0854,4156.08541,60
Ar I,4158.590,4158.591,400
Ar II,4162.51,4162.5085,0
Ar I,4164.180,4164.180,50
Ar II,4168.9696,4168.96778,6
Ar III,4173.69,4173.636,2
Ar II,4178.3650,4178.36530,13
Ar II,4179.2972,4179.29704,50
Ar I,4181.884,4181.884,50
Ar III,4182.9667,4182.9661,18
Ar II,4183.5909,4183.5908,4
Ar II,4189.6507,4189.65100,16
Ar I,4190.713,4190.713,100
Ar I,4191.029,4191.029,50
Ar I,4198.317,4198.317,200
Ar III,4198.83,4198.762,3
Ar III,4198.83,4198.817,3
Ar II,4199.8887,4199.8890,9
Ar I,4200.674,4200.675,400
Ar II,4201.5556,4201.55428,10
Ar II,4201.9713,4201.97120,59
Ar II,4203.4105,4203.41075,18
Ar II,4209.944,4209.94575,1
Ar II,4210.950,4210.95880,1
Ar II,4214.854,4214.8618,2
Ar II,4217.4306,4217.43061,27
Ar II,4218.6648,4218.66480,59
Ar II,4222.6369,4222.63701,76
Ar II,4226.6091,4226.60846,16
Ar II,4226.9874,4226.98745,89
Ar II,4228.1577,4228.15775,331
Ar II,4229.8688,4229.86872,26
Ar II,4237.2195,4237.21956,269
Ar II,4243.640,4243.64424,2
Ar I,4251.185,4251.185,25
Ar II,4255.6027,4255.60268,8
Ar II,4256.663,4256.6688,1
Ar I,4259.362,4259.362,200
Ar I,4266.286,4266.287,100
Ar II,4266.5265,4266.52661,288
Ar II,4267.490,4267.49809,3
Ar II,4267.730,4267.73622,3
Ar I,4272.169,4272.169,150
Ar II,4275.1592,4275.15959,35
Ar II,4277.5279,4277.52786,1995
Ar II,4282.8971,4282.89720,68
Ar II,4286.3567,4286.3567,6
Ar VIII,4297.6,4297.3,
Ar II,4297.9632,4297.9645,15
Ar I,4300.101,4300.101,100
Ar II,4300.449,4300.4543,2
Ar II,4300.6493,4300.64931,85
Ar II,4309.0931,4309.09312,93
Ar II,4309.2385,4309.23857,120
Ar II,4327.3364,4327.33647,3
Ar II,4329.4385,4329.4383,8
Ar II,4331.1992,4331.19915,603
Ar II,4332.0295,4332.02953,162
Ar I,4333.561,4333.561,100
Ar I,4335.338,4335.338,50
Ar II,4337.0705,4337.07046,54
Ar II,4338.2312,4338.23078,6
Ar I,4345.168,4345.168,25
Ar II,4345.8968,4345.89579,9
Ar II,4348.0635,4348.06354,1995
Ar II,4352.2047,4352.20472,200
Ar II,4358.4915,4358.49124,3
Ar II,4362.0660,4362.06601,78
Ar I,,4363.795,
Ar II,4367.8314,4367.83141,129
Ar II,4370.7529,4370.75295,617
Ar II,4371.3285,4371.32854,355
Ar II,4372.4888,4372.48963,10
Ar II,4374.8574,4374.85779,30
Ar II,4375.9540,4375.95402,209
Ar II,4379.2128,4379.21357,11
Ar II,4379.6665,4379.66649,550
Ar II,4379.8805,4379.88058,794
Ar II,4382.930,4382.9335,5
Ar II,4383.7545,4383.75303,14
Ar II,4385.0565,4385.05653,117
Ar II,4386.9656,4386.9655,5
Ar II,4394.622,4394.61986,3
Ar II,4397.798,4397.7968,5
Ar II,4400.0964,4400.09637,257
Ar II,4400.9860,4400.98598,8710
Ar II,4401.744,4401.75478,2
Ar II,4404.9019,4404.9023,18
Ar II,4406.4696,4406.4698,10
Ar II,4409.00,4409.0102,0.5
Ar XIV,4412.556,4412.5560,
Ar II,4412.9035,4412.90323,3
Ar II,4420.9118,4420.91205,47
Ar I,,4423.994,
Ar II,4426.0008,4426.00080,1514
Ar II,4430.1885,4430.18862,661
Ar II,4430.9959,4430.99589,251
Ar II,4433.8377,4433.83789,120
Ar II,4438.1173,4438.11698,7
Ar II,4438.808,4438.80939,1
Ar II,4439.4611,4439.46110,95
Ar II,4439.8786,4439.87923,22
