ion,airwave,ritzwave,relint
Ne II,3679.8160,3679.8166,100
Ne II,3681.036,3681.0393,140
Ne II,3681.947,3681.9380,100
Ne II,3682.023,3682.0232,120
Ne I,3682.2421,3682.2421,1000
Ne II,3682.548,3682.5530,100
Ne II,3683.77,3683.7957,9
Ne I,3685.7351,3685.7352,1000
Ne II,3687.498,3687.4987,100
Ne II,3689.319,3689.3161,60
Ne VI,,3691,
Ne II,3692.272,3692.2729,80
Ne II,3693.389,3693.3870,140
Ne II,3694.2145,3694.2145,400
Ne II,3694.460,3694.4715,22
Ne II,3695.241,3695.2459,80
Ne II,3695.53,3695.54,11
Ne II,3697.1234,3697.1244,100
Ne II,3698.068,3698.0704,80
Ne III,3699.27,3699.308,120
Ne II,3699.54,3699.564,10
Ne II,3700.220,3700.2195,120
Ne I,3701.2247,3701.2244,400
Ne II,3701.7769,3701.7770,180
Ne II,3705.745,3705.7455,120
Ne VI,,3706,
Ne VII,3706.1,3706.1,30
Ne II,3707.384,3707.3858,120
Ne II,3707.996,3707.9982,100
Ne III,,3708.05,0m
Ne II,3709.6222,3709.6222,300
Ne VII,,3712,
Ne II,3713.0826,3713.0825,500
Ne IV,,3713.50,m
Ne II,3715.458,3715.4592,100
Ne II,3717.6207,3717.621,31
Ne II,3720.719,3720.7185,12
Ne II,3721.819,3721.8188,100
Ne VIII,3726.5,3726.4,30
Ne VII,3726.5,3726.5,30
Ne II,3726.872,3726.8707,60
Ne II,3727.1081,3727.1081,500
Ne II,3729.20,3729.207,26
Ne II,3730.976,3730.9836,100
Ne III,3732.04,3732.044,90
Ne II,3732.346,3732.3489,60
Ne II,3732.775,3732.7774,12
Ne II,3734.9388,3734.9388,180
Ne VII,3735.0,3735.0,80
Ne VII,3735.0,3735.0,80
Ne III,3737.66,3737.677,200
Ne II,3738.683,3738.6882,12
Ne II,3740.5987,3740.5981,120
Ne II,3740.964,3740.9664,12
Ne III,3741.36,3741.376,120
Ne III,3742.75,3742.764,240
Ne II,3744.6245,3744.6250,100
Ne II,3746.466,3746.4702,80
Ne II,3747.855,3747.8580,80
Ne VII,3750.5,3750.6,19
Ne II,3750.589,3750.5882,12
Ne III,3750.61,3750.63,160
Ne II,3751.2459,3751.2459,160
Ne II,3753.7792,3753.7792,140
Ne I,3754.2148,3754.2151,500
Ne II,3754.879,3754.8855,12
Ne II,3756.390,3756.3956,22
Ne VII,3756.6,3756.6,16
Ne II,3760.51,3760.531,9
Ne II,3763.644,3763.6459,80
Ne II,3764.710,3764.7097,60
Ne I,3765.819,3765.8396,50
Ne II,3766.259,3766.2613,200
Ne II,3766.811,3766.8096,12
Ne I,3768.047,3768.0675,50
Ne I,3769.449,3769.4611,70
Ne I,3769.654,3769.6771,50
Ne II,3770.54,3770.54,8
Ne VII,3771.1,3771.1,70
Ne VII,3771.1,3771.1,70
Ne III,3771.650,3771.651,240
Ne II,3774.17,3774.1814,3
Ne II,,3776.882,
Ne II,3777.1359,3777.1358,200
Ne III,3782.46,3782.461,200
Ne III,3783.94,3783.982,240
Ne II,3785.19,3785.205,5
Ne III,3786.49,3786.432,300
Ne II,3790.922,3790.9170,120
Ne II,3792.159,3792.1605,80
Ne II,3793.55,3793.533,16
Ne II,3795.54,3795.524,5
Ne VII,3795.9,3796.9,16
Ne II,3798.323,3798.3189,100
Ne II,3798.323,3798.3230,100
Ne II,3799.9645,3799.9645,160
Ne II,3800.457,3800.4565,60
Ne II,3800.816,3800.8144,12
Ne II,3801.013,3801.0143,12
Ne II,3802.83,3802.8292,5
Ne II,3806.252,3806.2500,120
Ne IV,3813.67,3813.69,5
Ne III,3817.886,3817.886,200
Ne II,3818.4236,3818.4237,200
Ne II,3823.157,3823.1564,100
Ne II,3829.7503,3829.7503,240
Ne II,3840.500,3840.5008,140
Ne III,3843.32,3843.32,240
Ne III,3844.97,3844.945,240
Ne III,3847.85,3847.828,240
Ne III,3848.85,3848.859,180
Ne VII,3853.30,3853.47,10
Ne II,3857.812,3857.8220,60
Ne VII,3864.5,3864.4,150
Ne VII,3864.5,3864.4,150
Ne VII,3866.80,3866.66,30
Ne III,3868.76,3868.76,
Ne II,3868.93,3868.932,8
Ne III,3872.95,3872.921,200
